method,covset,caliper,ratio,n,hr,lo,hi
psm,drop_male,0.1,2.0,915,0.6101058552909177,0.4767914379389671,0.7806959711132864
psm,drop_male,0.2,1.0,1410,0.5902487430150242,0.48784478010692134,0.7141484194100802
psm,drop_male,0.2,2.0,927,0.5054232752196812,0.39414516659484833,0.6481182792135463
psm,drop_male,0.5,1.0,1410,0.6380972008858617,0.5295647880948335,0.7688729442212402
psm,drop_male,0.5,2.0,1014,0.6335693857936361,0.5037963964288685,0.7967706189649189
regression,drop_asia,,,1800,0.5599635082282136,0.47135068806820307,0.6652353300519157
iptw,drop_asia,,,1800,0.5844612078356711,0.49088705809090155,0.6958727019474115
psm,drop_asia,0.1,1.0,1420,0.5651177486660672,0.46774138761145134,0.6827663283940404
psm,drop_asia,0.1,2.0,900,0.6126472333383639,0.48034650829192177,0.7813872403316144
psm,drop_asia,0.2,1.0,1422,0.6099884105331793,0.5065705511113883,0.7345193283906031
psm,drop_asia,0.2,2.0,933,0.5566156198279214,0.4347471765039905,0.712646257366958
psm,drop_asia,0.5,1.0,1422,0.5865368196734458,0.48622151373309347,0.7075487840743503
psm,drop_asia,0.5,2.0,1017,0.6395384452043529,0.5098055078829078,0.8022852177351181
regression,core4,,,1800,0.5537859478116803,0.4671441771756084,0.6564972678197265
iptw,core4,,,1800,0.5764483733503175,0.4855567017126125,0.6843541155259389
psm,core4,0.1,1.0,1472,0.5723530522789992,0.47538830827609835,0.6890956524383614
psm,core4,0.1,2.0,1245,0.5324095548400976,0.4276321622711647,0.662859249359469
psm,core4,0.2,1.0,1472,0.5723530522789992,0.47538830827609835,0.6890956524383614
psm,core4,0.2,2.0,1245,0.5324095548400976,0.4276321622711647,0.662859249359469
psm,core4,0.5,1.0,1494,0.5779771998164555,0.4805397206824672,0.6951717602724681
psm,core4,0.5,2.0,1251,0.6344420687193374,0.5163508217918173,0.7795411986836333
regression,core6,,,1800,0.5545931438198939,0.46721422028143317,0.6583137709009845
iptw,core6,,,1800,0.5838144885123029,0.4911972859244079,0.6938950331442483
psm,core6,0.1,1.0,1434,0.6228730513460924,0.5177285280939162,0.7493711801463907
psm,core6,0.1,2.0,1230,0.6417577703666124,0.5212645656834772,0.7901036497386078
psm,core6,0.2,1.0,1434,0.6165934596091848,0.5123469747017343,0.7420508233783398
psm,core6,0.2,2.0,1242,0.7058796277620456,0.5763587557545657,0.8645067744952654
psm,core6,0.5,1.0,1446,0.600240840629123,0.49861513860231815,0.7225794783710185
psm,core6,0.5,2.0,1245,0.6319171760993562,0.5123099695451196,0.7794486564529294
regression,clin+site,,,1800,0.5488448286463151,0.46314984164743445,0.6503956578292649
iptw,clin+site,,,1800,0.571209110082847,0.481306896899638,0.6779039518099277
psm,clin+site,0.1,1.0,1500,0.5699258285609995,0.4753701803108378,0.6832894941970269
psm,clin+site,0.1,2.0,1242,0.5098787958676899,0.40754845006578533,0.6379030184841108
psm,clin+site,0.2,1.0,1500,0.5699258285609995,0.4753701803108378,0.6832894941970269
psm,clin+site,0.2,2.0,1242,0.5098787958676899,0.40754845006578533,0.6379030184841108
psm,clin+site,0.5,1.0,1502,0.5630485301194754,0.4692929393098084,0.6755346622856719
psm,clin+site,0.5,2.0,1245,0.6145428407230374,0.49823051330643026,0.7580083776435905
